ISSN,"Abbreviated Journal Title",Rank,Field,Status
0001-9240,Aeronautical Journal (1968),B1,ENGENHARIAS III,Atualizado
1270-9638,Aerospace Science and Technology (Imprimé),B1,INTERDISCIPLINAR,Atualizado
0364-216X,Aesthetic Plastic Surgery,B1,ENGENHARIAS III,Atualizado
1090-820X,Aesthetic Surgery Journal,B1,ENGENHARIAS III,Atualizado
1434-8411,AEU. International Journal of Electronics and Communications (Print),B1,ENGENHARIAS III,Atualizado
0001-9704,Afinidad (Barcelona),B1,INTERDISCIPLINAR,Atualizado
0001-9704,Afinidad (Barcelona),B1,ENGENHARIAS I,Atualizado
0001-9704,Afinidad (Barcelona),B1,ENGENHARIAS III,Atualizado
1991-637X,African Journal of Agricultural Research,B1,INTERDISCIPLINAR,Atualizado
1684-5315,African Journal of Biotechnology,B1,ENGENHARIAS I,Atualizado
1993-8233,African Journal of Business Management,B1,INTERDISCIPLINAR,Atualizado
1814-232X,African Journal of Marine Science (Print),B1,INTERDISCIPLINAR,Atualizado
1594-0667,Aging Clinical and Experimental Research (Testo stampato),B1,INTERDISCIPLINAR,Atualizado
0378-3774,Agricultural Water Management (Print),B1,ENGENHARIAS II,Atualizado
1166-7699,Agricultures (Montrouge) / Cahiers d'Études et de Recherches Francophones,B1,INTERDISCIPLINAR,Atualizado
1316-0354,Agroalimentaria (Caracas),B1,INTERDISCIPLINAR,Atualizado
0001-1541,AIChE Journal,B1,ENGENHARIAS IV,Atualizado
0889-2229,AIDS Research and Human Retroviruses,B1,INTERDISCIPLINAR,Atualizado
1748-8842,Aircraft Engineering and Aerospace Technology: an international journal,B1,ENGENHARIAS III,Atualizado
1133-9837,Alambique (Barcelona),B1,INTERDISCIPLINAR,Atualizado
1518-8728,Alceu (PUCRJ),B1,INTERDISCIPLINAR,Atualizado
0272-9814,"Alcohol (Boca Raton, Fla.)",B1,INTERDISCIPLINAR,Atualizado
0741-8329,"Alcohol (Fayetteville, N.Y.)",B1,INTERDISCIPLINAR,Atualizado
1980-0436,Alea (2006. Online),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1982-5153,Alexandria (UFSC),B1,INTERDISCIPLINAR,Atualizado
1472-2739,Algebraic and Geometric Topology (Online),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1472-2747,Algebraic and Geometric Topology (Print),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0971-4693,Allelopathy Journal,B1,ENGENHARIAS I,Atualizado
0971-4693,Allelopathy Journal,B1,INTERDISCIPLINAR,Atualizado
2236-4633,Almanack,B1,INTERDISCIPLINAR,Atualizado
1678-8621,Ambiente Construído (Online),B1,INTERDISCIPLINAR,Atualizado
1415-8876,Ambiente Construído (São Paulo. Impresso),B1,INTERDISCIPLINAR,Atualizado
1809-4422,Ambiente & Sociedade (Online),B1,INTERDISCIPLINAR,Atualizado
0002-7812,American Ceramic Society Bulletin,B1,INTERDISCIPLINAR,Atualizado
2162-142X,American International Journal of Contemporary Research,B1,INTERDISCIPLINAR,Atualizado
1062-3264,American Journal of Critical Care,B1,ENGENHARIAS IV,Atualizado
0002-9246,American Journal of Economics and Sociology,B1,INTERDISCIPLINAR,Atualizado
0271-3586,American Journal of Industrial Medicine (Print),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0889-5406,American Journal of Orthodontics and Dentofacial Orthopedics,B1,ENGENHARIAS IV,Atualizado
0889-5406,American Journal of Orthodontics and Dentofacial Orthopedics,B1,ENGENHARIAS II,Atualizado
0889-5406,American Journal of Orthodontics and Dentofacial Orthopedics,B1,INTERDISCIPLINAR,Atualizado
1537-7385,American Journal of Physical Medicine and Rehabilitation,B1,INTERDISCIPLINAR,Atualizado
0002-9505,American Journal of Physics,B1,ENGENHARIAS IV,Atualizado
0363-6135,American Journal of Physiology. Heart and Circulatory Physiology,B1,ENGENHARIAS IV,Atualizado
0363-6119,"American Journal of Physiology. Regulatory, Integrative and Comparative Physiology",B1,ENGENHARIAS IV,Atualizado
0092-5853,American Journal of Political Science,B1,INTERDISCIPLINAR,Atualizado
1538-2990,American Journal of the Medical Sciences,B1,INTERDISCIPLINAR,Atualizado
1075-2765,American Journal of Therapeutics (Print),B1,ENGENHARIAS IV,Atualizado
0002-9645,American Journal of Veterinary Research,B1,INTERDISCIPLINAR,Atualizado
0003-0082,American Museum Novitates,B1,INTERDISCIPLINAR,Atualizado
0044-7870,American Society for Information Science & Technology. Annual Meeting Proceedings,B1,INTERDISCIPLINAR,Atualizado
2151-0032,American Society of Agricultural and Biological Engineers. Transactions,B1,INTERDISCIPLINAR,Atualizado
2151-0032,American Society of Agricultural and Biological Engineers. Transactions,B1,ENGENHARIAS I,Atualizado
2151-0032,American Society of Agricultural and Biological Engineers. Transactions,B1,ENGENHARIAS II,Atualizado
0173-5373,Amphibia-Reptilia,B1,INTERDISCIPLINAR,Atualizado
1748-2968,Amyotrophic Lateral Sclerosis (Print),B1,INTERDISCIPLINAR,Atualizado
0365-0596,Anais Brasileiros de Dermatologia (Impresso),B1,INTERDISCIPLINAR,Atualizado
0365-0596,Anais Brasileiros de Dermatologia (Impresso),B1,ENGENHARIAS III,Atualizado
0001-3765,Anais da Academia Brasileira de Ciências (Impresso),B1,ENGENHARIAS I,Atualizado
0001-3765,Anais da Academia Brasileira de Ciências (Impresso),B1,ENGENHARIAS II,Atualizado
1678-2690,Anais da Academia Brasileira de Ciências (Online),B1,ENGENHARIAS II,Atualizado
1413-1803,Anais do Museu Histórico Nacional,B1,INTERDISCIPLINAR,Atualizado
0870-8231,Análise Psicológica,B1,INTERDISCIPLINAR,Atualizado
1516-2680,Análise (PUCRS),B1,INTERDISCIPLINAR,Atualizado
0925-1030,Analog Integrated Circuits and Signal Processing,B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0925-1030,Analog Integrated Circuits and Signal Processing,B1,ENGENHARIAS III,Atualizado
1573-1979,Analog Integrated Circuits and Signal Processing (Dordrecht. Online),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1573-1979,Analog Integrated Circuits and Signal Processing (Dordrecht. Online),B1,ENGENHARIAS III,Atualizado
1618-2642,Analytical and Bioanalytical Chemistry (Print),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1618-2642,Analytical and Bioanalytical Chemistry (Print),B1,ENGENHARIAS IV,Atualizado
0003-2697,Analytical Biochemistry (Print),B1,ENGENHARIAS IV,Atualizado
0003-2700,Analytical Chemistry (Washington),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0003-2719,Analytical Letters,B1,ENGENHARIAS III,Atualizado
0003-2719,Analytical Letters,B1,INTERDISCIPLINAR,Atualizado
1757-5958,Analytical Methods,B1,ENGENHARIAS III,Atualizado
1759-9660,Analytical Methods (Print),B1,ENGENHARIAS II,Atualizado
1759-9660,Analytical Methods (Print),B1,ENGENHARIAS IV,Atualizado
1759-9660,Analytical Methods (Print),B1,INTERDISCIPLINAR,Atualizado
1759-9660,Analytical Methods (Print),B1,ENGENHARIAS III,Atualizado
0910-6340,Analytical Sciences,B1,ENGENHARIAS II,Atualizado
0910-6340,Analytical Sciences,B1,ENGENHARIAS III,Atualizado
0910-6340,Analytical Sciences,B1,ENGENHARIAS IV,Atualizado
0340-2096,"Anatomia, Histologia, Embryologia",B1,INTERDISCIPLINAR,Atualizado
0303-4569,Andrologia (Berlin),B1,INTERDISCIPLINAR,Atualizado
0003-2999,Anesthesia and Analgesia,B1,ENGENHARIAS IV,Atualizado
0101-191X,Ângulo (FATEA. Impresso),B1,INTERDISCIPLINAR,Atualizado
0268-9146,Animal Genetics (Print),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1806-9614,Animal Reproduction,B1,INTERDISCIPLINAR,Atualizado
1677-907X,Animus (Santa Maria),B1,INTERDISCIPLINAR,Atualizado
2175-4977,Animus (Santa Maria. Online),B1,INTERDISCIPLINAR,Atualizado
0037-9271,Annales de la Société Entomologique de France,B1,INTERDISCIPLINAR,Atualizado
0003-4088,Annales de Limnologie,B1,INTERDISCIPLINAR,Atualizado
0003-4088,Annales de Limnologie,B1,ENGENHARIAS IV,Atualizado
2100-000X,Annales de Limnologie (Online),B1,INTERDISCIPLINAR,Atualizado
1424-0637,Annales Henri Poincaré (Print),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0940-9602,Annals of Anatomy,B1,INTERDISCIPLINAR,Atualizado
0003-4746,Annals of Applied Biology,B1,INTERDISCIPLINAR,Atualizado
0003-4746,Annals of Applied Biology,B1,ENGENHARIAS II,Atualizado
0218-0006,Annals of Combinatorics (Print),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0218-0006,Annals of Combinatorics (Print),B1,INTERDISCIPLINAR,Atualizado
0232-704X,Annals of Global Analysis and Geometry,B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0939-5555,Annals of Hematology (Print),B1,INTERDISCIPLINAR,Atualizado
1665-2681,Annals of Hepatology,B1,INTERDISCIPLINAR,Atualizado
0301-4460,Annals of Human Biology,B1,INTERDISCIPLINAR,Atualizado
1012-2443,Annals of Mathematics and Artificial Intelligence,B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1012-2443,Annals of Mathematics and Artificial Intelligence,B1,ENGENHARIAS III,Atualizado
1573-7470,Annals of Mathematics and Artificial Intelligence (Dordrecht. Online),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1590-4261,Annals of Microbiology,B1,INTERDISCIPLINAR,Atualizado
0306-4549,Annals of Nuclear Energy,B1,ENGENHARIAS III,Atualizado
0254-5330,Annals of Operation Research,B1,ENGENHARIAS IV,Atualizado
0254-5330,Annals of Operation Research,B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1572-9338,Annals of Operations Research (Dordrecht. Online),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1572-9338,Annals of Operations Research (Dordrecht. Online),B1,ENGENHARIAS IV,Atualizado
0168-0072,Annals of Pure and Applied Logic (Print),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0013-8746,Annals of the Entomological Society of America,B1,INTERDISCIPLINAR,Atualizado
1550-8382,Annual Review of Information Science and Technology (Online),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0066-4286,Annual Review of Phytopathology (Print),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0954-1020,Antarctic Science (Print),B1,INTERDISCIPLINAR,Atualizado
1984-4921,Antares: Letras e Humanidades,B1,INTERDISCIPLINAR,Atualizado
0702-8997,Anthropologie et Sociétés,B1,INTERDISCIPLINAR,Atualizado
1609-9168,Anthropology of Food,B1,INTERDISCIPLINAR,Atualizado
0250-7005,Anticancer Research,B1,INTERDISCIPLINAR,Atualizado
1098-6596,Antimicrobial Agents and Chemotherapy (Online),B1,INTERDISCIPLINAR,Atualizado
1900-5407,Antipoda Revista de Antropologia y Arqueologia,B1,INTERDISCIPLINAR,Atualizado
0003-6072,Antonie van Leeuwenhoek (Gedrukt),B1,ENGENHARIAS II,Atualizado
0003-6072,Antonie van Leeuwenhoek (Gedrukt),B1,INTERDISCIPLINAR,Atualizado
1414-7378,Antropolítica (UFF),B1,INTERDISCIPLINAR,Atualizado
1510-4974,Anuario de Derecho Constitucional Latinoamericano,B1,INTERDISCIPLINAR,Atualizado
1669-5186,Anuario de Estudios de Antropología Social,B1,INTERDISCIPLINAR,Atualizado
0903-4641,"APMIS. Acta Pathologica, Microbiologica et Immunologica Scandinavica.",B1,INTERDISCIPLINAR,Atualizado
0195-6663,Appetite (London. Print),B1,ENGENHARIAS IV,Atualizado
1038-6807,Appita Journal,B1,ENGENHARIAS I,Atualizado
1038-6807,Appita Journal,B1,INTERDISCIPLINAR,Atualizado
0003-6811,Applicable Analysis,B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1452-8630,Applicable Analysis and Discrete Mathematics,B1,ENGENHARIAS III,Atualizado
0003-682X,Applied Acoustics,B1,ENGENHARIAS III,Atualizado
0003-682X,Applied Acoustics,B1,ENGENHARIAS I,Atualizado
0883-9514,Applied Artificial Intelligence,B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0927-2852,Applied Categorical Structures,B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1350-4851,Applied Economics Letters (Print),B1,ENGENHARIAS III,Atualizado
0003-6846,Applied Economics (Print),B1,INTERDISCIPLINAR,Atualizado
0003-6846,Applied Economics (Print),B1,ENGENHARIAS III,Atualizado
0883-8542,Applied Engineering in Agriculture,B1,ENGENHARIAS I,Atualizado
0003-6870,Applied Ergonomics,B1,ENGENHARIAS I,Atualizado
0883-2927,Applied Geochemistry,B1,ENGENHARIAS II,Atualizado
1570-7539,Applied Herpetology (Print),B1,ENGENHARIAS I,Atualizado
1570-7539,Applied Herpetology (Print),B1,INTERDISCIPLINAR,Atualizado
0924-669X,Applied Intelligence (Boston),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0924-669X,Applied Intelligence (Boston),B1,ENGENHARIAS IV,Atualizado
0924-669X,Applied Intelligence (Boston),B1,INTERDISCIPLINAR,Atualizado
0924-669X,Applied Intelligence (Boston),B1,ENGENHARIAS III,Atualizado
1573-7497,Applied Intelligence (Dordrecht. Online),B1,ENGENHARIAS III,Atualizado
1573-7497,Applied Intelligence (Dordrecht. Online),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0937-9347,Applied Magnetic Resonance,B1,ENGENHARIAS II,Atualizado
1466-4313,Applied Mathematical Finance (Online),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1350-486X,Applied Mathematical Finance (Print),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0307-904X,Applied Mathematical Modelling,B1,ENGENHARIAS IV,Atualizado
0096-3003,Applied Mathematics and Computation,B1,ENGENHARIAS II,Atualizado
0096-3003,Applied Mathematics and Computation,B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0893-9659,Applied Mathematics Letters,B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0095-4616,Applied Mathematics & Optimization,B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0168-9274,Applied Numerical Mathematics,B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0168-9274,Applied Numerical Mathematics,B1,ENGENHARIAS I,Atualizado
1559-128X,Applied Optics,B1,ENGENHARIAS II,Atualizado
0268-2605,Applied Organometallic Chemistry,B1,ENGENHARIAS II,Atualizado
0268-2605,Applied Organometallic Chemistry,B1,INTERDISCIPLINAR,Atualizado
1432-0630,"Applied Physics. A, Materials Science & Processing (Internet)",B1,ENGENHARIAS II,Atualizado
1432-0630,"Applied Physics. A, Materials Science & Processing (Internet)",B1,INTERDISCIPLINAR,Atualizado
0947-8396,"Applied Physics. A, Materials Science & Processing (Print)",B1,ENGENHARIAS IV,Atualizado
0947-8396,"Applied Physics. A, Materials Science & Processing (Print)",B1,ENGENHARIAS II,Atualizado
0947-8396,"Applied Physics. A, Materials Science & Processing (Print)",B1,ENGENHARIAS I,Atualizado
0947-8396,"Applied Physics. A, Materials Science & Processing (Print)",B1,INTERDISCIPLINAR,Atualizado
0946-2171,"Applied Physics. B, Lasers and Optics (Print)",B1,ENGENHARIAS IV,Atualizado
0003-6951,Applied Physics Letters,B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0003-6951,Applied Physics Letters,B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1715-5320,"Applied Physiology, Nutrition and Metabolism (Online)",B1,INTERDISCIPLINAR,Atualizado
1715-5312,"Applied Physiology, Nutrition and Metabolism (Print)",B1,ENGENHARIAS I,Atualizado
0146-6216,Applied Psychological Measurement,B1,ENGENHARIAS I,Atualizado
0969-8043,Applied Radiation and Isotopes,B1,ENGENHARIAS I,Atualizado
0969-8043,Applied Radiation and Isotopes,B1,ENGENHARIAS III,Atualizado
1430-6395,Applied Rheology (Print),B1,ENGENHARIAS II,Atualizado
1430-6395,Applied Rheology (Print),B1,ENGENHARIAS III,Atualizado
1568-4946,Applied Soft Computing (Print),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1568-4946,Applied Soft Computing (Print),B1,ENGENHARIAS II,Atualizado
0003-7028,Applied Spectroscopy,B1,INTERDISCIPLINAR,Atualizado
0003-7028,Applied Spectroscopy,B1,ENGENHARIAS IV,Atualizado
1526-4025,Applied Stochastic Models in Business and Industry (Online),B1,ENGENHARIAS III,Atualizado
1524-1904,Applied Stochastic Models in Business and Industry (Print),B1,ENGENHARIAS III,Atualizado
1524-1904,Applied Stochastic Models in Business and Industry (Print),B1,INTERDISCIPLINAR,Atualizado
1524-1904,Applied Stochastic Models in Business and Industry (Print),B1,ENGENHARIAS IV,Atualizado
0169-4332,Applied Surface Science,B1,ENGENHARIAS IV,Atualizado
0169-4332,Applied Surface Science,B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1359-4311,Applied Thermal Engineering,B1,ENGENHARIAS IV,Atualizado
0044-8486,Aquaculture (Amsterdam),B1,ENGENHARIAS II,Atualizado
0967-6120,Aquaculture International,B1,INTERDISCIPLINAR,Atualizado
1353-5773,Aquaculture Nutrition (Print),B1,INTERDISCIPLINAR,Atualizado
1355-557X,Aquaculture Research (Print),B1,INTERDISCIPLINAR,Atualizado
1355-557X,Aquaculture Research (Print),B1,ENGENHARIAS I,Atualizado
0304-3770,Aquatic Botany,B1,ENGENHARIAS I,Atualizado
1463-4988,Aquatic Ecosystem Health & Management,B1,INTERDISCIPLINAR,Atualizado
0990-7440,Aquatic Living Resources,B1,INTERDISCIPLINAR,Atualizado
0167-5427,Aquatic Mammals,B1,INTERDISCIPLINAR,Atualizado
1015-1621,Aquatic Sciences (Printed ed.),B1,INTERDISCIPLINAR,Atualizado
1319-8025,Arabian Journal for Science and Engineering. Section B: Engineering,B1,ENGENHARIAS III,Atualizado
0210-1963,Arbor (Madrid),B1,INTERDISCIPLINAR,Atualizado
1988-303X,Arbor (Madrid. Internet),B1,INTERDISCIPLINAR,Atualizado
1420-8938,Archiv der Mathematik (Electronic ed.),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0003-889X,Archiv der Mathematik (Printed ed.),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0365-6233,Archiv der Pharmazie (Weinheim),B1,INTERDISCIPLINAR,Atualizado
0933-5846,Archive for Mathematical Logic (Print),B1,INTERDISCIPLINAR,Atualizado
0939-1533,Archive of Applied Mechanics (1991),B1,ENGENHARIAS III,Atualizado
0137-5075,Archives of Acoustics,B1,ENGENHARIAS I,Atualizado
0137-5075,Archives of Acoustics,B1,ENGENHARIAS III,Atualizado
0887-6177,Archives of Clinical Neuropsychology,B1,INTERDISCIPLINAR,Atualizado
0340-3696,Archives of Dermatological Research (Print),B1,INTERDISCIPLINAR,Atualizado
0932-0067,Archives of Gynecology and Obstetrics (Print),B1,INTERDISCIPLINAR,Atualizado
0932-0067,Archives of Gynecology and Obstetrics (Print),B1,ENGENHARIAS III,Atualizado
0739-4462,Archives of Insect Biochemistry and Physiology,B1,INTERDISCIPLINAR,Atualizado
0188-4409,Archives of Medical Research,B1,INTERDISCIPLINAR,Atualizado
1734-1922,Archives of Medical Science,B1,ENGENHARIAS IV,Atualizado
1734-1922,Archives of Medical Science,B1,INTERDISCIPLINAR,Atualizado
0302-8933,Archives of Microbiology,B1,ENGENHARIAS II,Atualizado
0302-8933,Archives of Microbiology,B1,INTERDISCIPLINAR,Atualizado
0003-9969,Archives of Oral Biology,B1,ENGENHARIAS II,Atualizado
0003-9969,Archives of Oral Biology,B1,ENGENHARIAS IV,Atualizado
0886-4470,"Archives of Otolaryngology, Head & Neck Surgery",B1,INTERDISCIPLINAR,Atualizado
0253-6269,Archives of Pharmacal Research (Seoul. Print),B1,INTERDISCIPLINAR,Atualizado
0003-9993,Archives of Physical Medicine and Rehabilitation (Print),B1,ENGENHARIAS IV,Atualizado
0304-8608,Archives of Virology,B1,ENGENHARIAS III,Atualizado
1434-1816,Archives of Women's Mental Health,B1,INTERDISCIPLINAR,Atualizado
0300-2896,Archivos de Bronconeumología (Ed. impresa),B1,INTERDISCIPLINAR,Atualizado
0212-8799,Archivos de Medicina del Deporte,B1,INTERDISCIPLINAR,Atualizado
0004-0622,Archivos Latinoamericanos de Nutrición,B1,ENGENHARIAS III,Atualizado
0338-3520,Armées d'Aujourd'hui,B1,INTERDISCIPLINAR,Atualizado
1518-238X,Arqtexto (UFRGS),B1,INTERDISCIPLINAR,Atualizado
1809-6298,Arquitextos (São Paulo),B1,INTERDISCIPLINAR,Atualizado
0102-0935,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,B1,ENGENHARIAS III,Atualizado
0102-0935,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,B1,ENGENHARIAS I,Atualizado
1678-4162,Arquivo Brasileiro de Medicina Veterinária e Zootecnia (Online),B1,ENGENHARIAS III,Atualizado
1678-4162,Arquivo Brasileiro de Medicina Veterinária e Zootecnia (Online),B1,INTERDISCIPLINAR,Atualizado
0066-782X,Arquivos Brasileiros de Cardiologia (Impresso),B1,ENGENHARIAS III,Atualizado
0066-782X,Arquivos Brasileiros de Cardiologia (Impresso),B1,INTERDISCIPLINAR,Atualizado
0004-2730,Arquivos Brasileiros de Endocrinologia e Metabologia (Impresso),B1,INTERDISCIPLINAR,Atualizado
0004-2730,Arquivos Brasileiros de Endocrinologia e Metabologia (Impresso),B1,ENGENHARIAS III,Atualizado
0004-2749,Arquivos Brasileiros de Oftalmologia (Impresso),B1,INTERDISCIPLINAR,Atualizado
0004-2749,Arquivos Brasileiros de Oftalmologia (Impresso),B1,ENGENHARIAS I,Atualizado
0874-1123,Arquivos da Memória,B1,INTERDISCIPLINAR,Atualizado
0004-282X,Arquivos de Neuro-Psiquiatria (Impresso),B1,INTERDISCIPLINAR,Atualizado
0004-282X,Arquivos de Neuro-Psiquiatria (Impresso),B1,ENGENHARIAS III,Atualizado
1809-8274,Artefilosofia (UFOP),B1,INTERDISCIPLINAR,Atualizado
1872-8855,Arthropod-Plant Interactions (Print),B1,INTERDISCIPLINAR,Atualizado
0890-0604,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing",B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0890-0604,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing",B1,ENGENHARIAS III,Atualizado
1469-1760,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing (Online)",B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0933-3657,Artificial Intelligence in Medicine (Print),B1,INTERDISCIPLINAR,Atualizado
0269-2821,Artificial Intelligence Review,B1,ENGENHARIAS IV,Atualizado
0269-2821,Artificial Intelligence Review,B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1573-7462,Artificial Intelligence Review (Dordrecht. Online),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0160-564X,Artificial Organs,B1,ENGENHARIAS III,Atualizado
0160-564X,Artificial Organs,B1,ENGENHARIAS I,Atualizado
1525-1594,Artificial Organs (Online),B1,ENGENHARIAS III,Atualizado
1058-2916,ASAIO Journal (1992),B1,ENGENHARIAS III,Atualizado
0217-5959,Asia-Pacific Journal of Operational Research,B1,ENGENHARIAS III,Atualizado
1075-2935,Assessing Writing,B1,INTERDISCIPLINAR,Atualizado
0921-7134,Asymptotic Analysis,B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0921-7134,Asymptotic Analysis,B1,INTERDISCIPLINAR,Atualizado
0212-6567,Atención Primaria (Barcelona. Ed. impresa),B1,INTERDISCIPLINAR,Atualizado
0261-1929,ATLA. Alternatives to Laboratory Animals,B1,INTERDISCIPLINAR,Atualizado
2160-0422,Atmospheric and Climate Science (Online),B1,INTERDISCIPLINAR,Atualizado
2160-0414,Atmospheric and Climate Science (Print),B1,INTERDISCIPLINAR,Atualizado
1352-2310,Atmospheric Environment (1994),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0169-8095,Atmospheric Research (Print),B1,ENGENHARIAS IV,Atualizado
0169-8095,Atmospheric Research (Print),B1,ENGENHARIAS II,Atualizado
0169-8095,Atmospheric Research (Print),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0169-8095,Atmospheric Research (Print),B1,ENGENHARIAS III,Atualizado
0092-640X,Atomic Data and Nuclear Data Tables (Print),B1,INTERDISCIPLINAR,Atualizado
0195-5373,Atomic Spectroscopy,B1,ENGENHARIAS I,Atualizado
0195-5373,Atomic Spectroscopy,B1,ENGENHARIAS II,Atualizado
0195-5373,Atomic Spectroscopy,B1,INTERDISCIPLINAR,Atualizado
0004-8402,Australasian Journal of Philosophy,B1,INTERDISCIPLINAR,Atualizado
0004-8674,Australian and New Zealand Journal of Psychiatry (Print),B1,INTERDISCIPLINAR,Atualizado
1329-1947,Australian Endodontic Journal,B1,ENGENHARIAS II,Atualizado
0067-1924,Australian Journal of Botany (Print),B1,INTERDISCIPLINAR,Atualizado
0004-9425,Australian Journal of Chemistry (Print),B1,INTERDISCIPLINAR,Atualizado
1326-6756,Australian Journal of Entomology (Print),B1,INTERDISCIPLINAR,Atualizado
0004-959X,Australian Journal of Zoology (Print),B1,INTERDISCIPLINAR,Atualizado
1369-1473,Australian & New Zealand Journal of Statistics (Print),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0005-0423,Australian Veterinary Journal,B1,INTERDISCIPLINAR,Atualizado
1566-0702,Autonomic Neuroscience: Basic & Clinical,B1,INTERDISCIPLINAR,Atualizado
1387-2532,Autonomous Agents and Multi-Agent Systems,B1,ENGENHARIAS IV,Atualizado
1387-2532,Autonomous Agents and Multi-Agent Systems,B1,INTERDISCIPLINAR,Atualizado
1677-0471,Avaliação Psicológica (Impresso),B1,INTERDISCIPLINAR,Atualizado
0121-4500,Avances en Enfermeria,B1,INTERDISCIPLINAR,Atualizado
0005-2086,Avian Diseases,B1,INTERDISCIPLINAR,Atualizado
1808-2386,BBR. Brazilian Business Review (English Edition. Online),B1,INTERDISCIPLINAR,Atualizado
0166-4328,Behavioural Brain Research,B1,ENGENHARIAS IV,Atualizado
0953-4180,Behavioural Neurology,B1,INTERDISCIPLINAR,Atualizado
1362-3001,Behaviour & Information Technology (Online),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0144-929X,Behaviour & Information Technology (Print),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0005-7959,Behaviour (Leiden. Print),B1,INTERDISCIPLINAR,Atualizado
1538-7305,Bell Labs Technical Journal (Online),B1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1885-2238,Biblioteca Las Casas,B1,INTERDISCIPLINAR,Atualizado
1516-8085,BIB. Revista Brasileira de Informação Bibliográfica em Ciências Sociais,B1,INTERDISCIPLINAR,Atualizado
1024-2422,Biocatalysis and Biotransformation (Print),B1,ENGENHARIAS II,Atualizado
0006-291X,Biochemical and Biophysical Research Communications (Print),B1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1369-703X,Biochemical Engineering Journal,B1,ENGENHARIAS IV,Atualizado
0006-2928,Biochemical Genetics,B1,INTERDISCIPLINAR,Atualizado
0305-1978,Biochemical Systematics and Ecology,B1,ENGENHARIAS II,Atualizado
0305-1978,Biochemical Systematics and Ecology,B1,INTERDISCIPLINAR,Atualizado
